url,title,description
https://practicaldatascience.co.uk/data-science/dell-precision-7750-mobile-data-science-workstation-review,Dell Precision 7750 mobile data science workstation review,The Dell Precision 7750 mobile workstation is aimed at data scientists who want a laptop for GPU-accelerated data science. Is it worth the price tag?
https://practicaldatascience.co.uk/data-science/how-to-create-an-ecommerce-trading-calendar-using-pandas,How to create an ecommerce trading calendar using Pandas,"Learn how to use Pandas to create a dynamic ecommerce trading calendar of special trading events, such as Black Friday and Mother’s Day."
https://practicaldatascience.co.uk/data-engineering/how-to-create-ecommerce-data-pipelines-in-apache-airflow,How to create ecommerce data pipelines in Apache Airflow,"Apache Airflow lets you schedule, run, and monitor tasks and has become one of the most widely-used ETL tools in data science."
https://practicaldatascience.co.uk/machine-learning/how-to-encode-categorical-variables-for-machine-learning,How to encode categorical variables for machine learning,Categorical variable encoding is one of the most important machine learning pre-modeling steps. Here are some techniques you can use in your models.
https://practicaldatascience.co.uk/data-engineering/how-to-set-up-a-docker-container-for-your-mysql-server,How to set up a Docker container for your MySQL server,Learn how to create a Docker container for your MySQL or MariaDB database server so you can extract and query data locally without impacting production. 
https://practicaldatascience.co.uk/data-engineering/how-to-use-apache-druid-for-real-time-analytics-data-storage,How to use Apache Druid for real-time analytics data storage,Apache Druid is a real-time high performance analytics data store for big data that makes running queries on large datasets faster. Here’s how to use it.
https://practicaldatascience.co.uk/data-engineering/how-to-use-apache-superset-to-create-an-ecommerce-bi-platform,How to create a BI platform using Apache Superset,Learn how to create a powerful and extensible business intelligence (BI) platform for your ecommerce business using Apache Superset.
https://practicaldatascience.co.uk/machine-learning/how-to-use-nlp-to-identify-what-drives-customer-satisfaction,How to use NLP to identify what drives customer satisfaction,Learn how to use web scraping and NLP to shape your ecommerce strategy by identifying what influences customer satisfaction within your market.
https://practicaldatascience.co.uk/machine-learning/how-to-use-the-bgnbd-model-to-predict-customer-purchases,How to use the BG/NBD model to predict customer purchases,The Beta-Geometric Negative Binomial Distribution or BG/NBD model lets you predict which customers will order in the next period. Here's how it works.
https://practicaldatascience.co.uk/machine-learning/ecommerce-and-marketing-data-sets-for-machine-learning-projects,Ecommerce and marketing data sets for machine learning,Here’s a selection of some of the most useful datasets I’ve found for building machine learning models for marketing and ecommerce problems.
https://practicaldatascience.co.uk/machine-learning/how-to-annotate-training-data-for-nlp-models-using-doccano,How to annotate training data for NLP models using Doccano,Doccano is a text annotation platform for NLP that makes it much quicker and easier to label and tag named entities in your text. Here's how to use it. 
https://practicaldatascience.co.uk/machine-learning/how-to-bin-or-bucket-customer-data-using-pandas,How to bin or bucket customer data using Pandas,Data binning or bucketing is a very useful technique for both preprocessing and understanding or visualising complex data. Here’s how to use it.
https://practicaldatascience.co.uk/data-science/how-to-calculate-relative-dates-for-google-analytics-queries,How to calculate relative dates for Google Analytics queries,To automate Google Analytics API reports for Google Data Studio you’ll need to know how to calculate relative dates in Google Sheets. Here’s how it’s done.
https://practicaldatascience.co.uk/data-science/how-to-connect-to-mysql-via-an-ssh-tunnel-in-python,How to connect to MySQL via an SSH tunnel in Python,MySQL databases are usually configured to only allow secure connections via SSH. Here’s how to create an SSH tunnel and connect to MySQL from Python.
https://practicaldatascience.co.uk/data-science/how-to-create-an-abc-inventory-classification-model,How to create an ABC inventory classification model,Learn how to create an ABC inventory classification model in Python so your procurement manager to keep better track of the product inventory.
https://practicaldatascience.co.uk/machine-learning/how-to-create-image-datasets-for-machine-learning-models,How to create image datasets for machine learning models,Learn how to create an image dataset for your machine learning image classification model using Python and web scraping.
https://practicaldatascience.co.uk/machine-learning/how-to-create-synthetic-data-sets-for-machine-learning,How to create synthetic data sets for machine learning,"Learn some simple techniques you can apply using Pandas and Numpy to create dummy, synthetic, or artificial data to train your machine learning models."
https://practicaldatascience.co.uk/data-engineering/how-to-import-data-into-bigquery-using-pandas-and-mysql,How to import data into BigQuery using Pandas and MySQL,"Learn how to import data into the Google BigQuery serverless data warehouse platform using Python, Pandas, and MySQL."
https://practicaldatascience.co.uk/data-engineering/how-to-import-data-into-google-data-studio-using-python,How to import data into Google Data Studio using Python,"Google Data Studio doesn’t include native support for Python, but you can still import data from Python or MySQL via Google Sheets and GSpread. Here’s how."
https://practicaldatascience.co.uk/machine-learning/how-to-speed-up-the-nlp-text-annotation-process,How to speed up the NLP text annotation process,"Text annotation techniques like sequence labeling are vital in NLP, but are  tedious, time-consuming, and expensive. Here’s a shortcut to save time."
https://practicaldatascience.co.uk/data-engineering/how-to-use-google-secret-manager-to-improve-data-security,How to use Google Secret Manager to improve data security,Learn how to use Google Secret Manager to create secure environmental variables to hold your sensitive credentials and avoid storing them in your scripts.
https://practicaldatascience.co.uk/data-science/how-to-create-an-abc-xyz-inventory-classification-model,How to create an ABC XYZ inventory classification model,Learn how to create an ABC XYZ inventory classification model to help your operations manager keep better control of stock by examining demand variability.
https://practicaldatascience.co.uk/data-science/how-to-use-image-hashing-to-identify-visually-similar-or-duplicate-images,How to use identify visually similar images using hashing,Learn how to use image hashing or image fingerprinting to identify visually similar or duplicated images via hashes and the Hamming distance metric.
https://practicaldatascience.co.uk/data-science/how-to-analyse-search-traffic-using-the-google-trends-api,How to analyse search traffic using the Google Trends API,"Google Trends data is now being used in a range of models. Here’s how you can access the data using PyTrends, an unofficial Google Trends API."
https://practicaldatascience.co.uk/machine-learning/how-to-create-a-linear-regression-model-using-scikit-learn,How to create a linear regression model using Scikit-Learn,"Want to get started with linear regression? Learn to use Python, Pandas, and scikit-learn to create a linear regression model to predict house prices."
https://practicaldatascience.co.uk/machine-learning/how-to-create-a-response-model-to-improve-outbound-sales,How to create a response model to improve outbound sales,Learn how to use machine learning to create a response model that maximises the performance and ROI obtained from your outbound telesales team.
https://practicaldatascience.co.uk/machine-learning/how-to-create-time-series-sales-forecasts-using-prophet,How to create ecommerce sales forecasts using Prophet,Creating accurate ecommerce time series forecasts using models such as ARIMA can be tricky. The Prophet forecasting model makes things much easier.
https://practicaldatascience.co.uk/data-science/how-to-group-and-aggregate-transactional-data-using-pandas,How to group and aggregate transactional data using Pandas,Learn how to group and aggregate transactional data using Pandas to create new datasets allowing you to analyse products and customers.
https://practicaldatascience.co.uk/data-science/how-to-import-data-into-pandas-dataframes,How to import data into Pandas dataframes,"Learn how to import data into Pandas from a wide range of different data sources, from CSV and Excel files to SQL and JSON."
https://practicaldatascience.co.uk/data-science/how-to-reformat-dates-in-pandas,How to reformat dates in Pandas,Learn how to use Python and Pandas to reformat dates and datetimes so you can display them in your reports or use them in your models.
https://practicaldatascience.co.uk/data-science/how-to-resample-time-series-data-in-pandas,How to resample time series data in Pandas,"The Pandas resample function lets you group time series data by day, week, month, or year so it can be visualised or used to create model features."
https://practicaldatascience.co.uk/machine-learning/how-to-save-and-load-machine-learning-models-using-pickle,How to save and load machine learning models using Pickle,"Machine learning models can take days to train. Pickle allows you to save them to share or re-run them later, without the need for re-training."
https://practicaldatascience.co.uk/data-science/how-to-select-filter-and-subset-data-in-pandas-dataframes,"How to select, filter, and subset data in Pandas dataframes","Learn a range of useful techniques to select, filter, and subset data stored in Pandas dataframes to extract the exact information you need."
https://practicaldatascience.co.uk/machine-learning/how-to-use-category-encoders-to-transform-categorical-variables,How to use transform categorical variables using encoders,Learn how to use Category Encoders to transform and convert categorical variables to numeric data that can be used within machine learning models.
https://practicaldatascience.co.uk/machine-learning/how-to-use-model-selection-and-hyperparameter-tuning,How to use model selection and hyperparameter tuning,Model selection and hyperparameter tuning can greatly improve model performance. Learn how to use these techniques by tuning an XGBRegressor model.
https://practicaldatascience.co.uk/machine-learning/how-to-use-recursive-feature-elimination-in-your-models,How to use Recursive Feature Elimination in your models,Matt Clarke explains how you can use Recursive Feature Elimination with Cross Validation to select the best features to use in your machine learning model.
https://practicaldatascience.co.uk/machine-learning/how-to-use-smote-for-imbalanced-classification,How to use SMOTE for imbalanced classification,"SMOTE, the Synthetic Minority Oversampling Technique, is one of the best ways to handle imbalanced classification modeling tasks. Here's how to use it. "
https://practicaldatascience.co.uk/data-science/how-to-visualise-data-using-boxplots-in-seaborn,How to visualise data using boxplots in Seaborn,"Boxplots, or box-and-whisker diagrams, are a great way to visualise the statistical distribution of data. Here’s how you create them using Seaborn."
https://practicaldatascience.co.uk/data-science/how-to-visualise-data-using-histograms-in-pandas,How to visualise data using histograms in Pandas,Histograms are one of the best ways to visualise the statistical distributions of data during the EDA process. Here’s how to make them in Matplotlib.
https://practicaldatascience.co.uk/data-science/how-to-visualise-data-using-scatterplots-in-seaborn,How to visualise data using scatterplots in Seaborn,Scatterplots are a great way to visualise the distribution of data and the relationship between two variables. Here’s how you create them in Seaborn.
https://practicaldatascience.co.uk/data-science/how-to-visualise-rfm-data-using-treemaps,How to visualise RFM data using treemaps,Learn how to assign simple labels to your RFM data and visualise them using treemaps to help make the data easier for non-technical people to understand.
https://practicaldatascience.co.uk/data-science/how-to-visualise-web-analytics-data-using-heatmaps-in-seaborn,How to visualise analytics data using heatmaps in Seaborn,Heatmaps make visualising temporal data much easier. Here’s how you can create custom web analytics heatmaps using GAPandas and Seaborn.
https://practicaldatascience.co.uk/data-science/how-to-build-a-data-science-workstation,How to build a data science workstation,Building your own workstation for data science or deep learning isn’t that difficult and can save you a small fortune. Here’s how I built mine. 
https://practicaldatascience.co.uk/machine-learning/how-to-create-a-dataset-for-product-matching-models,How to create a dataset for product matching models,Datasets for the product matching models required to verify price comparisons are hard to find. Here's how you can create one to train your model. 
https://practicaldatascience.co.uk/data-science/how-to-create-an-ubuntu-desktop-entry-to-run-jupyter,How to create an Ubuntu desktop entry to run Jupyter,Here's how you can create a Gnome desktop entry shortcut launcher icon to start up Docker and open Jupyter so you can start working faster.
https://practicaldatascience.co.uk/data-science/how-to-create-desktop-data-science-apps-using-nativefier,How to create desktop data science apps using Nativefier,Nativefier makes it easy to create Ubuntu desktop applications from websites using Electron. Here’s how you can use it to create some data science apps.
https://practicaldatascience.co.uk/data-science/how-to-install-the-nvidia-data-science-stack-on-ubuntu-20-04,How to install the NVIDIA Data Science Stack on Ubuntu 20.04,The NVIDIA Data Science Stack is the quickest way to setup the drivers and packages needed for GPU-accelerated data science. Here’s how to install it.
https://practicaldatascience.co.uk/data-science/how-to-visualise-categorical-data-in-seaborn,How to visualise categorical data in Seaborn,"There’s more to visualising categorical data than bar charts. Here’s a selection of the other charts, graphs, and plots you can use on categorical data."
https://practicaldatascience.co.uk/data-science/how-to-visualise-correlations-using-pandas-and-seaborn,How to visualise correlations using Pandas and Seaborn,"Machine learning models make predictions from correlations between features and the target, so finding correlated features is crucial. Here's how to do it."
https://practicaldatascience.co.uk/data-science/how-to-visualise-data-using-barplots-in-seaborn,How to visualise data using barplots in Seaborn,Learn how to create barplots or bar charts for comparing and visualising categorical data in Python using Seaborn and Pandas.
https://practicaldatascience.co.uk/data-science/how-to-visualise-data-using-line-charts-in-seaborn,How to visualise data using line charts in Seaborn,"Line charts or line plots are among the most commonly used graphs in data science. Here’s how you can create them using Pandas, Seaborn, and Matplotlib."
https://practicaldatascience.co.uk/data-science/how-to-visualise-data-using-venn-diagrams-in-matplotlib,How to visualise data using Venn diagrams in Matplotlib,The Venn diagram is one of the most intuitive data visualisations for showing the overlap between groups of data. Here’s how to create one in Matplotlib.
https://practicaldatascience.co.uk/data-science/how-to-visualise-statistical-distributions-with-seaborn,How to visualise statistical distributions with Seaborn,Understanding the statistical distribution of data is a crucial step in machine learning. Here’s a quick guide to visualising distributions using Seaborn.
https://practicaldatascience.co.uk/data-science/how-to-visualise-text-data-using-word-clouds-in-python,How to visualise text data using word clouds in Python,"Word clouds, tag clouds, or wordles are an intuitive way to present text data to non-technical people. Here's how you can create them in Python."
https://practicaldatascience.co.uk/data-science/the-four-python-data-science-libraries-you-need-to-learn,The four Python data science libraries you need to learn,"If you're learning data science, there are four Python data science libraries you absolutely need to learn to be proficient."
https://practicaldatascience.co.uk/data-science/how-to-open-read-and-write-to-files-in-python,"How to open, read, and write to files in Python","Python makes it very straightforward to open, read, and write data to files. Here's a quick guide to show you how it's done."
https://practicaldatascience.co.uk/data-science/how-to-query-mysql-and-other-databases-using-pandas,How to query MySQL and other databases using Pandas,Querying MySQL and other databases using Pandas in Jupyter notebooks will change the way you work forever. Here’s how it's done...
https://practicaldatascience.co.uk/data-science/how-to-the-pandas-value-counts-function,How to use the Pandas value_counts() function,The Pandas value_counts() function is great for calculating the number of occurrences of a value in a column and for calculating frequency distributions.
https://practicaldatascience.co.uk/data-science/how-to-use-docstrings-to-improve-your-python-code,How to use docstrings to improve your Python code,"Using docstrings in Python makes it easier to see what functions do, what arguments they accept, and what they return. Here’s how to use them."
https://practicaldatascience.co.uk/data-science/how-to-use-git-for-your-data-science-projects,How to use Git for your data science projects,Learn how to use Git for your data science projects so you can keep your code backed-up and share it with your colleagues or the data science community.
https://practicaldatascience.co.uk/data-science/how-to-use-lists-in-python,How to use lists in Python,Lists are one of the most widely used data storage objects or data types within Python and are used in every data science package. Here’s how to use them.
https://practicaldatascience.co.uk/data-science/how-to-use-operators-in-python,How to use operators in Python,Python operators are one of the most important components of the language to grasp. Here’s a basic guide to operators in Python to get you started.
https://practicaldatascience.co.uk/data-science/how-to-use-sqlite-in-python,How to use SQLite in Python,"The SQLite relational database management system is fast, lightweight, and easy to use. Here's how you can get started with SQLite using Python."
https://practicaldatascience.co.uk/data-science/how-to-use-style-guidelines-to-improve-your-python-code,How to use style guidelines to improve your Python code,"Learn how and why following Python style guidelines can make your code easier to understand, review, and debug."
https://practicaldatascience.co.uk/data-science/how-to-visualise-conversion-funnels-with-plotly,How to visualise conversion funnels with Plotly,Funnels are one of the most useful and intuitive data visualisations used in ecommerce and marketing. Here's a quick guide to creating them using Plotly.
https://practicaldatascience.co.uk/data-science/how-to-visualise-data-with-quirky-hand-drawn-plots,How to visualise data with quirky hand-drawn plots,Want to dumb-down your plots and charts for your target audience? CuteCharts allows you to create quirky plots with a hand-drawn feel. Here's how it works.
https://practicaldatascience.co.uk/data-science/how-to-write-better-code-using-dry-and-do-one-thing,How to write better code using DRY and Do One Thing,"Learn how to use the Don’t Repeat Yourself and Do One Thing techniques to help you create Python code that is easier to read, understand, and maintain. "
https://practicaldatascience.co.uk/data-engineering/the-difference-between-data-scientists-and-data-engineers,The difference between data scientists and data engineers,"Despite the growing demand, many people still don’t understand the difference between a data scientist and a data engineer. Here’s how the roles differ."
https://practicaldatascience.co.uk/data-science/how-to-create-a-python-web-scraper-using-beautiful-soup,How to create a Python web scraper using Beautiful Soup,Beautiful Soup is one of the most powerful libraries for performing web scraping in Python. Here's a step-by-step guide to using it to scrape a website.
https://practicaldatascience.co.uk/data-science/how-to-create-paid-search-keywords-using-pandas,How to create paid search keywords using Pandas,"Pandas is a powerful tool for marketers, especially those involved in paid search advertising. Here’s how you can use Pandas to generate PPC keywords."
https://practicaldatascience.co.uk/data-science/how-to-geocode-and-map-addresses-in-geopy,How to geocode and map addresses using GeoPy,"Learn how to use GeoPy, Nominatim, and Folium to geocode and plot Pizza Express branches in the vicinity of Buckingham Palace, without breaking a sweat."
https://practicaldatascience.co.uk/data-science/how-to-send-a-slack-message-in-python-using-webhooks,How to send a Slack message in Python using webhooks,"It’s really easy to send Slack messages using Python. In this project, we’ll create a really basic Slack app that uses webhooks to send a Slack message."
https://practicaldatascience.co.uk/data-science/how-to-use-screamingfrog-from-the-command-line,How to use Screaming Frog from the command line,The Screaming Frog SEO Spider is widely used in digital marketing and ecommerce and has a powerful command line interface to complement its GUI.
https://practicaldatascience.co.uk/machine-learning/a-quick-guide-to-search-intent-classification-for-seo,A quick guide to search intent classification for SEO,Search intent classification aims to categorise search queries by user intent. But how do you do this and why is it even important? Matt Clarke explains...
https://practicaldatascience.co.uk/data-science/how-to-access-the-google-search-console-api-using-python,How to access the Google Search Console API using Python,By accessing Google Search Console data using the Python API you'll have access to whatever data you want and can easily connect it to other data sources.
https://practicaldatascience.co.uk/data-science/how-to-analyse-non-ranking-pages-and-index-bloat-using-python,How to analyse non-ranking pages and search index bloat,Learn how you can use Python to identify how many non-ranking pages your site has and check whether you're a victim of search index bloat.
https://practicaldatascience.co.uk/data-science/how-to-analyse-pandas-dataframes-using-sql,How to analyse Pandas dataframes using SQL,Learn how to use PandaSQL and query the data in your Pandas dataframes using SQL queries instead of complex Pandas code.
https://practicaldatascience.co.uk/data-science/how-to-audit-a-sites-core-web-vitals-using-python,How to audit a site's Core Web Vitals using Python,Core Web Vitals are performance metrics that measure the quality of the user experience and are now a search ranking factor. Here’s how to access them.
https://practicaldatascience.co.uk/machine-learning/how-to-avoid-model-overfitting-with-early-stopping-rounds,How to avoid model overfitting with early stopping rounds,Overfitting reduces model performance. Here's how you can avoid it using the early stopping rounds feature in XGBoost.
https://practicaldatascience.co.uk/data-science/how-to-build-a-web-scraper-using-requests-html,How to build a web scraper using Requests-HTML,Requests-HTML wraps up the best bits from Requests and Beautiful Soup packages to create a web scraper that’s quick and easy to use. Here’s how it works.
https://practicaldatascience.co.uk/data-science/how-to-calculate-economic-order-quantity-in-python,How to calculate Economic Order Quantity in Python,"Learn how to calculate the Economic Order Quantity or EOQ for a product to minimise holding costs, shortage costs, and order costs."
https://practicaldatascience.co.uk/machine-learning/how-to-detect-fake-news-with-machine-learning,How to detect fake news with machine learning,Learn the Natural Language Processing techniques you need to use to identify fake news from real news in Python.
https://practicaldatascience.co.uk/machine-learning/how-to-detect-sarcasm-using-machine-learning,How to detect sarcasm using machine learning,"Can you tell when someone is taking the piss, when they haven't used a winking smiley? In this project we'll use machine learning to find the answer..."
https://practicaldatascience.co.uk/data-science/how-to-download-files-with-python,How to download files with Python,The Python urllib package allows you to download files from remote servers to use in your projects. Here's how you can use it.
https://practicaldatascience.co.uk/data-science/how-to-identify-keyword-cannibalisation-using-python,How to identify keyword cannibalisation using Python,Learn how to use Python to identify keyword cannibalisation which occurs when multiple pages compete for the same keywords.
https://practicaldatascience.co.uk/data-science/how-to-parse-url-structures-using-python,How to parse URL structures using Python,"When analysing web data, it’s common to need to parse URLs and extract the domain, directories, query string and other components. Here’s how it’s done."
https://practicaldatascience.co.uk/data-science/how-to-parse-xml-sitemaps-using-python,How to parse XML sitemaps using Python,XML sitemaps are a great way to gain insight on your competitors’ websites and identify pages to crawl and scrape. Here’s how to parse them using Python.
https://practicaldatascience.co.uk/machine-learning/how-to-preprocess-text-for-nlp-in-four-easy-steps,How to preprocess text for NLP in four easy steps,"Learn how to apply tokenization, stopword removal, Porter stemming, and re-joining to preprocess your NLP model inputs prior to vectorization."
https://practicaldatascience.co.uk/data-science/how-to-resize-and-compress-images-with-tinypng,How to resize and compress images with TinyPNG,"Learn how to use the TinyPNG API in Python to bulk resize and compress images to improve site performance, SEO, and reduce bandwidth costs."
https://practicaldatascience.co.uk/data-science/how-to-scan-a-site-404-errors-and-301-redirect-chains,How to scan a site for 404 errors and 301 redirect chains,404 errors and 301 redirect chains can be damaging to the performance of a website and impact the user experience. Here’s how to find them with Python.
https://practicaldatascience.co.uk/data-science/how-to-scrape-a-sites-page-titles-and-meta-descriptions,How to scrape a site's page titles and meta descriptions,Learn how to apply web scraping tools to scrape a site's content and parse the titles and descriptions and return the output in a Pandas dataframe.
https://practicaldatascience.co.uk/data-science/how-to-scrape-and-parse-a-robotstxt-with-python,How to scrape and parse a robots.txt file using Python,"The robots.txt file includes potential useful information for crawlers and spiders, and is easy to grab and parse using Python. Here’s how it’s done."
https://practicaldatascience.co.uk/data-science/how-to-scrape-open-graph-protocol-data-using-python,How to scrape Open Graph protocol data using Python,"Learn how to use web scraping technologies, including urllib and Beautiful Soup, to scrape a website and parse any embedded Open Graph protocol data."
https://practicaldatascience.co.uk/data-science/how-to-send-data-to-google-analytics-in-python-using-pygamp,How to send data to Google Analytics in Python with PyGAMP,PyGAMP allows you to insert data into Google Analytics using the Measurement Protocol API in Python. Here's how you can use it.
https://practicaldatascience.co.uk/data-science/how-to-unserialize-serialized-php-arrays-using-python,How to unserialize serialized PHP arrays using Python,"PHP serialized arrays and objects are common in ecommerce database schemas, but are a massive pain in the arse from a data science perspective..."
https://practicaldatascience.co.uk/data-science/how-to-unzip-files-with-python,How to unzip files with Python,"If you're downloading large zipped datasets via automated Python scripts, you may need to decompress the zip files. Here's how it's done."
https://practicaldatascience.co.uk/data-science/how-to-use-extruct-to-identify-schema-org-metadata-usage,How to use Extruct to identify Schema.org metadata usage,"Extruct allows you to reveal a site's Schema.org metadata implementation, so you can build a more stable and efficient web scraper. Here's how to use it."
https://practicaldatascience.co.uk/machine-learning/how-to-use-knee-point-detection-in-k-means-clustering,How to use knee point detection in k means clustering,Learn how to use the Kneedle algorithm to detect the knee or elbow point when k means clustering so you define the optimum number of clusters to create.
https://practicaldatascience.co.uk/machine-learning/how-to-use-pipelines-in-your-machine-learning-models,How to use pipelines in your machine learning models,"Using pipelines keeps machine learning code cleaner, easier to maintain, easier to move to production, and lets you apply a range of additional techniques."
https://practicaldatascience.co.uk/data-science/a-quick-guide-to-catalogue-marketing-data-science,A quick guide to catalogue marketing data science,"Catalogues may be living on borrowed time, but the data science techniques they led to are just as important to other areas of marketing."
https://practicaldatascience.co.uk/data-science/how-to-access-the-google-knowledge-graph-search-api,How to access the Google Knowledge Graph Search API,The Google Knowledge Graph powers the Knowledge Panels and infobox elements of Google’s search results. Here’s how you can access it using Python.
https://practicaldatascience.co.uk/data-science/how-to-calculate-category-management-metrics-in-python,How to calculate category management metrics in Python,Category management metrics can let you understand product sales and be more strategic in your pricing and product launches. Here’s how to calculate them.
https://practicaldatascience.co.uk/data-science/how-to-calculate-customer-satisfaction-metrics-in-python,How to calculate customer experience metrics in Python,"Customer experience and customer satisfaction is what drives customer retention, so it’s vital that you can measure it. Here's how it's done in Python."
https://practicaldatascience.co.uk/data-science/how-to-calculate-marketing-metrics-in-python,How to calculate marketing metrics in Python,Need to include common marketing metrics in your analyses or data science projects? Here's how you can calculate them in Python.
